year,events_1900_2014,tnp,revolution_index,is_high_revolution,annual_sunspot,is_high_solar_threshold,is_high_solar_window,is_solar_local_max
1900,2,32000,1.0000002186094958,False,158.0,False,False,False
1901,2,25000,1.0000001919195354,False,45.833333333333336,False,False,False
1902,0,0,1.0,False,84.33333333333333,False,False,False
1903,1,25000,1.000000133879622,False,406.5833333333333,False,False,False
1904,3,11000,1.0000001527765117,False,699.0833333333334,False,False,False
1905,4,2040000,1.0000023861615586,True,1057.8333333333333,True,True,False
1906,2,40000,1.0000002346685581,False,897.9166666666666,False,True,False
1907,0,0,1.0,False,1033.8333333333333,True,True,True
1908,2,30000,1.000000200491437,False,809.5833333333334,False,True,False
1909,2,34500,1.000000213550157,False,731.3333333333334,False,True,False
1910,3,150000,1.000000541672456,False,310.0,False,False,False
1911,1,100000,1.0000002536212516,False,95.41666666666667,False,False,False
1912,0,0,1.0,False,59.916666666666664,False,False,False
1913,0,0,1.0,False,24.166666666666668,False,False,False
1914,2,13000,1.0000001267178378,False,160.5,False,False,False
1915,2,28000,1.000000184714181,False,789.75,False,True,False
1916,4,53260,1.0000003578425238,False,951.3333333333334,True,True,False
1917,5,3355000,1.0000031538990033,True,1731.75,True,True,True
1918,9,630000,1.0000018212232793,True,1343.0,True,True,False
1919,7,3164000,1.0000035751483451,True,1060.0,True,True,False
1920,7,850000,1.0000018405195645,True,627.1666666666666,False,False,False
1921,2,216000,1.0000004925824957,False,435.3333333333333,False,False,False
1922,5,196500,1.0000007378337672,False,237.5,False,False,False
1923,3,69000,1.0000003363818588,False,96.58333333333333,False,False,False
1924,2,27000,1.0000001706472992,False,278.5833333333333,False,False,False
1925,2,55000,1.000000241910115,False,738.5833333333334,False,True,False
1926,2,15000,1.0000001254796962,False,1064.75,True,True,False
1927,4,459000,1.0000009749993268,False,1151.0833333333333,True,True,True
1928,3,361000,1.0000007437677645,False,1296.75,True,True,False
1929,0,0,1.0,False,1081.0,True,True,False
1930,3,2012000,1.0000017322398727,True,595.4166666666666,False,False,False
1931,2,20000,1.0000001400614302,False,353.6666666666667,False,False,False
1932,3,95000,1.0000003713352155,False,185.58333333333334,False,False,False
1933,1,0,1.0,False,94.16666666666667,False,False,False
1934,1,70000,1.0000001815528285,False,145.25,False,False,False
1935,4,571500,1.0000010304982496,False,600.5833333333334,False,False,False
1936,3,817000,1.0000010598293614,False,1328.6666666666667,True,True,False
1937,0,0,1.0,False,1906.3333333333333,True,True,False
1938,0,0,1.0,False,1826.1666666666667,True,True,True
1939,0,0,1.0,False,1479.6666666666667,True,True,False
1940,1,18000,1.0000000883936624,False,1129.5833333333333,True,True,False
1941,0,0,1.0,False,791.5,False,False,False
1942,1,1000000,1.0000006499727772,False,510.5,False,False,False
1943,1,30000,1.0000001118177992,False,272.25,False,False,False
1944,5,148500,1.0000005525272329,False,159.5,False,False,False
1945,3,795000,1.0000009835689203,False,551.25,False,False,False
1946,4,4170000,1.0000025835315798,True,1542.1666666666667,True,True,False
1947,2,15000,1.0000001088257138,False,2145.25,True,True,False
1948,5,146500,1.000000534108953,False,1928.4166666666667,True,True,True
1949,2,20000,1.000000123968454,False,1913.3333333333333,True,True,False
1950,1,5000,1.0000000435332748,False,1188.8333333333333,True,True,False
1951,1,27500,1.0000001014046402,False,984.0,True,False,False
1952,5,182500,1.0000005801804144,False,448.5833333333333,False,False,False
1953,1,300000,1.0000003304170129,False,200.75,False,False,False
1954,1,61000,1.0000001479864107,False,65.58333333333333,False,False,False
1955,2,15000,1.0000001030795924,False,540.5,False,False,False
1956,4,314000,1.0000006624636164,False,2006.5,True,True,False
1957,1,100000,1.000000185661715,False,2688.4166666666665,True,True,False
1958,5,44000,1.0000002735198463,False,2614.0,True,True,True
1959,0,0,1.0,False,2248.0,True,True,False
1960,4,319000,1.0000006498500138,False,1589.6666666666667,True,True,False
1961,2,105000,1.0000002618500063,False,764.25,False,False,False
1962,5,28300,1.0000002130511545,False,535.6666666666666,False,False,False
1963,5,137000,1.0000004638253237,False,399.5833333333333,False,False,False
1964,5,110000,1.00000041129764,False,150.58333333333334,False,False,False
1965,4,119000,1.000000378705142,False,219.5,False,False,False
1966,3,55000,1.0000002206497736,False,665.6666666666666,False,False,False
1967,4,135000,1.0000003951171252,False,1326.5,True,True,False
1968,4,10094400,1.0000033817960738,True,1499.5,True,True,False
1969,2,36000,1.0000001413292443,False,1494.4166666666667,True,True,True
1970,2,50000,1.0000001648340606,False,1482.25,True,True,False
1971,2,21500,1.0000001069611493,False,944.25,True,True,False
1972,3,145000,1.000000336820894,False,976.9166666666666,True,False,False
1973,3,405000,1.000000557373373,False,542.9166666666666,False,False,False
1974,2,130000,1.0000002553603025,False,491.5,False,False,False
1975,3,189000,1.00000037361449,False,224.08333333333334,False,False,False
1976,2,57000,1.0000001660278102,False,183.41666666666666,False,False,False
1977,1,20000,1.0000000689340418,False,393.4166666666667,False,False,False
1978,4,2065000,1.0000013886739885,True,1312.4166666666667,True,True,False
1979,3,510000,1.0000005923875364,False,2198.5833333333335,True,True,False
1980,5,10028000,1.0000033614316364,True,2189.75,True,True,True
1981,3,49000,1.0000001804029328,False,1987.8333333333333,True,True,False
1982,2,123000,1.000000231269111,False,1628.8333333333333,True,True,False
1983,2,150000,1.0000002531109011,False,907.9166666666666,True,False,False
1984,2,25000,1.0000001024274814,False,606.5833333333334,False,False,False
1985,2,2060000,1.0000009216278958,False,205.41666666666666,False,False,False
1986,3,1550000,1.0000009704533945,False,148.33333333333334,False,False,False
1987,5,1267000,1.0000011226096877,False,336.75,False,False,False
1988,8,4427500,1.0000026310000971,True,1227.0,True,True,False
1989,8,3137000,1.000002195293974,True,2112.3333333333335,True,True,False
1990,11,1034000,1.0000014650795577,True,1913.9166666666667,True,True,True
1991,9,1215000,1.0000014245818494,True,2034.0833333333333,True,True,False
1992,4,450000,1.0000005732867476,False,1333.4166666666667,True,True,False
1993,2,40000,1.0000001199039568,False,763.5,False,False,False
1994,4,127000,1.0000002998382909,False,448.6666666666667,False,False,False
1995,1,100000,1.0000001320345724,False,251.66666666666666,False,False,False
1996,2,69000,1.0000001539540837,False,115.5,False,False,False
1997,2,16000,1.0000000735949677,False,288.9166666666667,False,False,False
1998,1,500000,1.0000002888260668,False,880.5,False,False,False
1999,3,28500,1.00000011860424,False,1361.5,True,True,False
2000,2,200000,1.0000002547919866,False,1738.0833333333333,True,True,False
2001,3,1600000,1.000000876725119,False,1702.8333333333333,True,True,True
2002,3,716000,1.000000582656162,False,1636.0833333333333,True,True,False
2003,1,100000,1.000000124908768,False,990.3333333333334,True,True,False
2004,4,1034000,1.0000007981585093,False,653.3333333333334,False,False,False
2005,3,53000,1.0000001555024165,False,457.25,False,False,False
2006,3,595000,1.0000005177226006,False,246.25,False,False,False
2007,4,192000,1.0000003374583941,False,126.33333333333333,False,False,False
2008,3,210000,1.0000003037087832,False,41.5,False,False,False
2009,6,690000,1.000000773690737,False,47.5,False,False,False
2010,3,475000,1.00000045116119,False,249.0,False,False,False
2011,10,3028000,1.0000020670728578,True,807.5833333333334,False,False,False
2012,3,19000,1.0000000891213225,False,843.9166666666666,False,False,False
2013,5,4336000,1.000001727427116,True,937.0833333333334,True,False,False
2014,5,327500,1.000000471892043,False,1136.0833333333333,True,False,False
